condition,label,seed,final_widths,macro_mse,foreground_mse,mean_positive_forgetting,model_update_steps,parameter_count,quota_stop_fraction,updated_class_fraction,unresolved_exhausted_level_count,runtime_seconds
cl_dataset_oracle,CL + original data,42,"[207,105,77,23]",0.014804546721279621,0.05990239763886513,1.2414762750267982e-05,1113,389343,0.0,0.0,0,111.37207433162257
cl_dataset_oracle,CL + original data,43,"[207,105,77,23]",0.01492741797119379,0.059706353569605096,2.0792474970221518e-06,1113,389343,0.0,0.0,0,436.9142211638391
cl_dataset_oracle,CL + original data,44,"[207,105,77,23]",0.015197199769318104,0.06128249571044509,1.053276937454939e-05,1113,389343,0.0,0.0,0,20.276444734074175
cl_dataset_oracle,CL + original data,45,"[207,105,77,23]",0.015112807974219322,0.06069126098757641,1.2290221638977527e-05,1113,389343,0.0,0.0,0,86.44153120089322
cl_dataset_oracle,CL + original data,46,"[207,105,77,23]",0.015198644250631332,0.06110993912435199,2.788635902106762e-06,1113,389343,0.0,0.0,0,89.74075426720083
cl_dataset_oracle,CL + original data,47,"[207,105,77,23]",0.01524245273321867,0.061266531665538485,9.865197353065013e-06,1113,389343,0.0,0.0,0,86.44855498056859
cl_dataset_oracle,CL + original data,48,"[207,105,77,23]",0.01510887686163187,0.06133853329582943,6.0873804613947865e-06,1113,389343,0.0,0.0,0,87.34257847676054
cl_dataset_oracle,CL + original data,49,"[207,105,77,23]",0.015103911980986595,0.06117876004402591,1.9138259813189506e-05,1113,389343,0.0,0.0,0,86.15568334981799
cl_dataset_oracle,CL + original data,50,"[207,105,77,23]",0.01498934905976057,0.06045493011881767,1.1106813326478005e-05,1113,389343,0.0,0.0,0,88.6473096772097
cl_dataset_oracle,CL + original data,51,"[207,105,77,23]",0.015086068771779537,0.06214440239884079,8.279713802039623e-06,1113,389343,0.0,0.0,0,90.06143502611667
cl_intrinsic,CL + intrinsic replay,42,"[232,140,91,44]",0.023566195741295815,0.08642473401062231,0.007235745433717966,1113,463978,0.0,0.0,0,84.44874578295276
cl_intrinsic,CL + intrinsic replay,43,"[232,140,91,44]",0.02276129648089409,0.08248711745247397,0.006632456323131919,1113,463978,0.0,0.0,0,86.62602881109342
cl_intrinsic,CL + intrinsic replay,44,"[232,140,91,44]",0.02306951768696308,0.08112669689332491,0.00681014028377831,1113,463978,0.0,0.0,0,85.97929643187672
cl_intrinsic,CL + intrinsic replay,45,"[232,140,91,44]",0.023734362795948982,0.08240135298251093,0.00731903500854969,1113,463978,0.0,0.0,0,84.97139933006838
cl_intrinsic,CL + intrinsic replay,46,"[232,140,91,44]",0.023972060531377792,0.08331173542398185,0.007713588047772646,1113,463978,0.0,0.0,0,85.74170544696972
cl_intrinsic,CL + intrinsic replay,47,"[232,140,91,44]",0.02321716956794262,0.08238597113744672,0.007128211157396436,1113,463978,0.0,0.0,0,88.17707987176254
cl_intrinsic,CL + intrinsic replay,48,"[232,140,91,44]",0.024545568972826004,0.08687197014402803,0.008308685012161731,1113,463978,0.0,0.0,0,85.22626175079495
cl_intrinsic,CL + intrinsic replay,49,"[232,140,91,44]",0.023937303572893143,0.08509055026770007,0.007606887258589268,1113,463978,0.0,0.0,0,84.89683534763753
cl_intrinsic,CL + intrinsic replay,50,"[232,140,91,44]",0.023802651092410088,0.08541083529571365,0.0075241854880005125,1113,463978,0.0,0.0,0,84.53977361088619
cl_intrinsic,CL + intrinsic replay,51,"[232,140,91,44]",0.02411390095949173,0.08547784823192725,0.007884492492303252,1113,463978,0.0,0.0,0,84.26896268501878
cl_no_replay,"CL, no replay",42,"[207,105,78,23]",0.025451593101024628,0.10886162891234535,0.008638735953718423,1113,389601,0.0,0.0,0,76.9168374040164
cl_no_replay,"CL, no replay",43,"[207,105,77,23]",0.026921434327960014,0.11659996858788099,0.010007265955209732,1113,389343,0.0,0.0,0,79.80454387608916
cl_no_replay,"CL, no replay",44,"[207,107,77,23]",0.025465084239840508,0.10880202525734294,0.008856977429240942,1113,390483,0.0,0.0,0,77.66240463778377
cl_no_replay,"CL, no replay",45,"[207,105,77,23]",0.025594964623451233,0.10859210358738544,0.008669505594298244,1113,389343,0.0,0.0,0,80.43675103969872
cl_no_replay,"CL, no replay",46,"[207,105,78,24]",0.025278588756918907,0.10312061681924764,0.008821401745080948,1113,389758,0.0,0.0,0,82.75101382425055
cl_no_replay,"CL, no replay",47,"[207,106,77,23]",0.025600405409932137,0.10536170384564857,0.00859881928190589,1113,389913,0.0,0.0,0,80.3729444378987
cl_no_replay,"CL, no replay",48,"[207,107,78,23]",0.025806112214922905,0.11057821567471916,0.008569569466635585,1113,390745,0.0,0.0,0,82.41173543175682
cl_no_replay,"CL, no replay",49,"[207,106,77,23]",0.02675584889948368,0.11342655675211445,0.009805625770241022,1113,389913,0.0,0.0,0,80.65849998174235
cl_no_replay,"CL, no replay",50,"[208,106,77,23]",0.026274537667632103,0.1141897911672839,0.009249893622472883,1113,391695,0.0,0.0,0,79.48523297486827
cl_no_replay,"CL, no replay",51,"[207,106,78,23]",0.025615708902478218,0.10608271823867714,0.008524056989699602,1113,390173,0.0,0.0,0,77.47845365805551
ndl_dataset_oracle,NDL + original data,42,"[207,105,77,23]",0.0472361259162426,0.19667791698301398,0.00023830649442970752,13353,389343,0.875,0.25,4,103.99747457867488
ndl_dataset_oracle,NDL + original data,43,"[207,105,77,23]",0.046351317316293716,0.18324657337903003,0.00018544965423643588,13308,389343,0.875,0.25,4,101.13235537102446
ndl_dataset_oracle,NDL + original data,44,"[208,105,77,23]",0.047310709953308105,0.20093472103907994,0.00015639420598745346,13903,391123,0.875,0.25,4,104.66539215808734
ndl_dataset_oracle,NDL + original data,45,"[207,105,77,23]",0.048797786235809326,0.1736537557981151,0.00018944251351058484,13299,389343,0.875,0.25,4,168.37063858099282
ndl_dataset_oracle,NDL + original data,46,"[207,105,77,23]",0.04843677207827568,0.19998200859638304,0.0001473343465477228,13353,389343,0.875,0.25,4,170.36021333094686
ndl_dataset_oracle,NDL + original data,47,"[207,105,77,23]",0.0472409650683403,0.2096784040895579,0.00020057568326592445,13338,389343,0.875,0.25,4,172.37661261716858
ndl_dataset_oracle,NDL + original data,48,"[207,105,77,23]",0.04730880632996559,0.1960667335956321,0.0001917740795761347,13377,389343,0.875,0.25,4,171.74256345070899
ndl_dataset_oracle,NDL + original data,49,"[208,105,77,23]",0.04727368429303169,0.20775683621606048,0.00020597721450030804,13897,391123,0.875,0.25,4,176.1532713919878
ndl_dataset_oracle,NDL + original data,50,"[209,105,77,23]",0.046924784779548645,0.1788588898010014,0.0004490520339459181,15067,392903,0.875,0.375,4,178.35470642708242
ndl_dataset_oracle,NDL + original data,51,"[208,105,77,23]",0.046446699649095535,0.19194551460157408,0.00025524524971842766,13849,391123,0.875,0.25,4,172.51696854410693
ndl_intrinsic,NDL + intrinsic replay,42,"[232,140,91,44]",0.06414540112018585,0.25102143099671087,0.015379610983654857,88298,463978,0.0,1.0,32,658.3854490267113
ndl_intrinsic,NDL + intrinsic replay,43,"[232,140,91,44]",0.06309729069471359,0.2533800198039733,0.01474657068029046,88298,463978,0.0,1.0,32,653.896909320727
ndl_intrinsic,NDL + intrinsic replay,44,"[232,140,91,44]",0.06686491519212723,0.26740597009688943,0.018064774665981533,88298,463978,0.0,1.0,32,656.1928547159769
ndl_intrinsic,NDL + intrinsic replay,45,"[232,140,91,44]",0.06297244876623154,0.23474121359721184,0.013887804793193936,88283,463978,0.0,1.0,32,653.5958002712578
ndl_intrinsic,NDL + intrinsic replay,46,"[232,140,91,44]",0.059682536870241165,0.22374304931118258,0.010053968150168657,88298,463978,0.0,1.0,32,657.0403731139377
ndl_intrinsic,NDL + intrinsic replay,47,"[232,140,91,44]",0.06610162556171417,0.23978569943053965,0.017742591584101318,88289,463978,0.0,1.0,32,6026.035809447989
ndl_intrinsic,NDL + intrinsic replay,48,"[232,140,91,44]",0.06761991232633591,0.25231659989191724,0.01758390008471906,88286,463978,0.0,1.0,32,658.1505177640356
ndl_intrinsic,NDL + intrinsic replay,49,"[232,140,91,44]",0.06389429420232773,0.24842671022280777,0.01495815785601735,88298,463978,0.0,1.0,32,655.3363353628665
ndl_intrinsic,NDL + intrinsic replay,50,"[232,140,91,44]",0.062369804829359055,0.23321931672289048,0.014975592913106083,88277,463978,0.0,1.0,32,654.6631334172562
ndl_intrinsic,NDL + intrinsic replay,51,"[232,140,91,44]",0.06277963519096375,0.23611394438886363,0.015673477668315172,88292,463978,0.0,1.0,32,654.9383132038638
ndl_no_replay,"NDL, no replay",42,"[207,105,78,23]",0.05031265318393707,0.18337560601924652,0.002281578304246068,14505,389601,0.875,0.375,4,90.73717659013346
ndl_no_replay,"NDL, no replay",43,"[207,105,77,23]",0.04879523441195488,0.1821079593790053,0.0016466782428324223,13221,389343,0.875,0.25,4,84.55085821310058
ndl_no_replay,"NDL, no replay",44,"[207,107,77,23]",0.04714056849479675,0.1920916736583517,0.0014594686217606068,15003,390483,0.875,0.25,4,93.34166006324813
ndl_no_replay,"NDL, no replay",45,"[207,105,77,23]",0.04946611449122429,0.17582287333795102,0.0013029660563915967,13176,389343,0.875,0.25,4,83.4396092616953
ndl_no_replay,"NDL, no replay",46,"[207,105,78,24]",0.05316796898841858,0.21937302575440548,0.002753757406026125,15019,389758,0.875,0.375,4,93.73469494469464
ndl_no_replay,"NDL, no replay",47,"[207,106,77,23]",0.049049410969018936,0.2133346570007012,0.0017664591316133738,14426,389913,0.875,0.25,4,91.62345388485119
ndl_no_replay,"NDL, no replay",48,"[207,107,78,23]",0.049372587352991104,0.19991834407115985,0.0021532946731895207,16254,390745,0.875,0.375,4,98.44365889113396
ndl_no_replay,"NDL, no replay",49,"[207,106,77,23]",0.04895356297492981,0.19366994037701954,0.0014822793193161488,14492,389913,0.875,0.25,4,93.84163899160922
ndl_no_replay,"NDL, no replay",50,"[208,106,77,23]",0.04807692766189575,0.17330862675631484,0.0017572781536728144,14949,391695,0.875,0.25,4,93.72932352311909
ndl_no_replay,"NDL, no replay",51,"[207,106,78,23]",0.050094809383153915,0.1782875058098391,0.0021346784196794033,15635,390173,0.875,0.375,4,94.82822892814875
