condition,seed,optimizer,plasticity_mode,replay_regime,final_widths,macro_mse,foreground_mse,mean_positive_forgetting,model_update_steps,runtime_seconds,settled_over_initial_energy,weight_displacement_l2
bp_original_data,42,backprop,uniform,original_data,"[207,105,77,23]",0.014804546721279621,0.05990239763886513,1.2414762750267982e-05,1113,111.37207433162257,,
bp_original_data,43,backprop,uniform,original_data,"[207,105,77,23]",0.01492741797119379,0.059706353569605096,2.0792474970221518e-06,1113,436.9142211638391,,
bp_original_data,44,backprop,uniform,original_data,"[207,105,77,23]",0.015197199769318104,0.06128249571044509,1.053276937454939e-05,1113,20.276444734074175,,
bp_no_replay,42,backprop,uniform,no_replay,"[207,105,78,23]",0.025451593101024628,0.10886162891234535,0.008638735953718423,1113,76.9168374040164,,
bp_no_replay,43,backprop,uniform,no_replay,"[207,105,77,23]",0.026921434327960014,0.11659996858788099,0.010007265955209732,1113,79.80454387608916,,
bp_no_replay,44,backprop,uniform,no_replay,"[207,107,77,23]",0.025465084239840508,0.10880202525734294,0.008856977429240942,1113,77.66240463778377,,
pc_uniform_original_data,42,predictive_coding,uniform,original_data,"[207,105,77,23]",0.02846539206802845,0.11482868305595342,8.464157581329345e-05,1113,34.09098387602717,0.5639705238854353,17.722316110224607
pc_usage_original_data,42,predictive_coding,usage,original_data,"[207,105,77,23]",0.028561266139149666,0.11542851514777677,8.352436125278473e-05,1113,33.23187081189826,0.5636665718490385,17.759190195766607
pc_uniform_no_replay,42,predictive_coding,uniform,no_replay,"[207,105,78,23]",0.039237551391124725,0.16045263390424291,0.008760999888181686,1113,23.060832025948912,0.592430087686088,9.829429203869646
pc_usage_no_replay,42,predictive_coding,usage,no_replay,"[207,105,78,23]",0.039435021579265594,0.1612514225938726,0.008848864678293466,1113,23.08288743905723,0.5913649251693667,9.677862666629409
pc_uniform_original_data,43,predictive_coding,uniform,original_data,"[207,105,77,23]",0.028788039460778236,0.11645690505890727,5.684797652065754e-05,1113,31.261174100916833,0.5580630038224562,17.927362143548358
pc_usage_original_data,43,predictive_coding,usage,original_data,"[207,105,77,23]",0.028929661959409714,0.11728089261221329,5.77402301132679e-05,1113,31.826118478085846,0.557445012313923,17.965968830122172
pc_uniform_no_replay,43,predictive_coding,uniform,no_replay,"[207,105,77,23]",0.04035184159874916,0.16602504977760668,0.009610420651733875,1113,22.5160112362355,0.5862368261577301,10.157113309691105
pc_usage_no_replay,43,predictive_coding,usage,no_replay,"[207,105,77,23]",0.04045998305082321,0.16634725055173913,0.009571674279868603,1113,23.02688993094489,0.5854169763765137,9.939151917453652
pc_uniform_original_data,44,predictive_coding,uniform,original_data,"[207,105,77,23]",0.02980862930417061,0.12206300370048619,9.610396809875966e-05,1113,31.849343216978014,0.5420321708350732,18.220843380224323
pc_usage_original_data,44,predictive_coding,usage,original_data,"[207,105,77,23]",0.029951894655823708,0.12269650018634863,0.00010027000680565835,1113,34.907763194758445,0.5415398920285788,18.235307614943924
pc_uniform_no_replay,44,predictive_coding,uniform,no_replay,"[207,107,77,23]",0.03932468220591545,0.1654923688716026,0.008765597501769662,1113,22.518840728793293,0.5898474468429099,9.820483018827801
pc_usage_no_replay,44,predictive_coding,usage,no_replay,"[207,107,77,23]",0.039498455822467804,0.1656372897216915,0.008816967997699977,1113,23.22251811111346,0.58881030964327,9.670803845573603
